MSOA21CD,RUC21CD,RUC21NM,Rural Urban flag,RUC21 settlement class,Proportion of population in settlement class (%),RUC21 relative access,Proportion of population in relative access category (%)
E02003880,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,95.2,Nearer to a major town or city,100
E02003881,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003882,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003883,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003884,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,54.2,Nearer to a major town or city,95.2
E02003885,UN1,Urban: Nearer to a major town or city,Urban,Urban,92,Nearer to a major town or city,92
E02003886,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003887,UF1,Urban: Further from a major town or city,Urban,Urban,96.9,Further from a major town or city,100
E02003888,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003889,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003890,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003891,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,52.3,Nearer to a major town or city,96.4
E02003892,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,73.2,Further from a major town or city,73.7
E02003893,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,83.9,Further from a major town or city,100
E02003894,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,76.5,Nearer to a major town or city,76.3
E02003895,UN1,Urban: Nearer to a major town or city,Urban,Urban,52.1,Nearer to a major town or city,83.9
E02003896,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003897,UN1,Urban: Nearer to a major town or city,Urban,Urban,62.1,Nearer to a major town or city,100
E02003898,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,87.7,Nearer to a major town or city,87.7
E02003899,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003900,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003901,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,70.8,Further from a major town or city,90.5
E02003902,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,100,Nearer to a major town or city,100
E02003903,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,78.1,Further from a major town or city,58
E02003904,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,73.4,Further from a major town or city,100
E02003905,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,66.5,Further from a major town or city,100
E02003906,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,66.3,Further from a major town or city,100
E02003907,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,54.5,Further from a major town or city,100
E02003908,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003909,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003910,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003911,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,84.5,Further from a major town or city,100
E02003912,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,64.1,Further from a major town or city,100
E02003913,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,66.5,Further from a major town or city,100
E02003914,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003915,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003916,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003917,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003918,UF1,Urban: Further from a major town or city,Urban,Urban,74.2,Further from a major town or city,100
E02003919,UF1,Urban: Further from a major town or city,Urban,Urban,88,Further from a major town or city,100
E02003920,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003921,UF1,Urban: Further from a major town or city,Urban,Urban,40.3,Further from a major town or city,100
E02003922,UF1,Urban: Further from a major town or city,Urban,Urban,75,Further from a major town or city,100
E02003923,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003924,UF1,Urban: Further from a major town or city,Urban,Urban,95.1,Further from a major town or city,100
E02003925,UF1,Urban: Further from a major town or city,Urban,Urban,89.7,Further from a major town or city,100
E02003926,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,81,Further from a major town or city,100
E02003927,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,51.2,Further from a major town or city,100
E02003928,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003929,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,61.4,Further from a major town or city,100
E02003930,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,82.7,Further from a major town or city,100
E02003931,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,90.1,Further from a major town or city,100
E02003932,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,100,Further from a major town or city,100
E02003933,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,68.3,Further from a major town or city,100
E02003934,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,80.6,Further from a major town or city,100
E02003935,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003936,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,100,Further from a major town or city,91.8
E02003937,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,90.5,Further from a major town or city,100
E02003938,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,68.1,Further from a major town or city,100
E02003939,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,98.3,Further from a major town or city,100
E02003940,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,100,Further from a major town or city,100
E02003941,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003942,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003943,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,96.3,Further from a major town or city,100
E02003944,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,87.8,Further from a major town or city,100
E02003945,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,53.4,Further from a major town or city,100
E02003946,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,73.2,Further from a major town or city,100
E02003947,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,85.5,Further from a major town or city,100
E02003948,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003949,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003950,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,66.1,Further from a major town or city,100
E02003951,UF1,Urban: Further from a major town or city,Urban,Urban,82.6,Further from a major town or city,100
E02003952,UF1,Urban: Further from a major town or city,Urban,Urban,79.7,Further from a major town or city,100
E02003953,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,50.5,Further from a major town or city,100
E02003954,UF1,Urban: Further from a major town or city,Urban,Urban,87.9,Further from a major town or city,100
E02003955,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003956,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,62.9,Further from a major town or city,100
E02003957,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,60.2,Further from a major town or city,100
E02003958,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,46.2,Further from a major town or city,100
E02003959,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,90.1,Further from a major town or city,100
E02003960,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,75.4,Further from a major town or city,100
E02003961,UF1,Urban: Further from a major town or city,Urban,Urban,95.8,Further from a major town or city,100
E02003962,UF1,Urban: Further from a major town or city,Urban,Urban,96,Further from a major town or city,100
E02003963,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003964,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,59,Further from a major town or city,100
E02003965,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,66,Nearer to a major town or city,71.2
E02003966,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,100,Nearer to a major town or city,86.1
E02003967,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,76.9,Nearer to a major town or city,70.9
E02003968,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,74.8,Further from a major town or city,100
E02003969,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,82,Further from a major town or city,100
E02003970,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,51.6,Further from a major town or city,100
E02003971,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,81.7,Further from a major town or city,100
E02003972,UF1,Urban: Further from a major town or city,Urban,Urban,98.3,Further from a major town or city,100
E02003973,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003974,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003975,UF1,Urban: Further from a major town or city,Urban,Urban,74.7,Further from a major town or city,100
E02003976,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,59.5,Further from a major town or city,100
E02003977,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,76.1,Further from a major town or city,100
E02003978,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,94.9,Further from a major town or city,100
E02003979,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003980,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003981,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003982,UF1,Urban: Further from a major town or city,Urban,Urban,97.1,Further from a major town or city,100
E02003983,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003984,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003985,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003986,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02003987,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,63.8,Nearer to a major town or city,85.1
E02003988,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,59.5,Nearer to a major town or city,98.3
E02003989,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003990,UN1,Urban: Nearer to a major town or city,Urban,Urban,76.2,Nearer to a major town or city,100
E02003991,UN1,Urban: Nearer to a major town or city,Urban,Urban,70.8,Nearer to a major town or city,100
E02003992,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003993,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,76.6,Nearer to a major town or city,100
E02003994,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003995,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003996,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003997,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003998,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003999,UN1,Urban: Nearer to a major town or city,Urban,Urban,65.3,Nearer to a major town or city,100
E02004000,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,73,Further from a major town or city,100
