lsoacode,dwe_p45pc,dwe_p16pc,dwe_modbp,dwe_mo20bp,dwe_medbp,dwe_mdargb
E01021358,0.6828,0.1035,K,K,F,"rgb(124,138,113)"
E01021359,0.9853,0.0237,E,E,F,"rgb(63,234,94)"
E01021350,0.6782,0.0286,G,G,G,"rgb(153,152,84)"
E01021353,0.8762,0.0385,H,H,H,"rgb(157,217,40)"
E01021365,0.6475,0.0322,K,K,H,"rgb(153,108,91)"
E01033458,0.8979,0.0623,K,K,K,"rgb(228,71,26)"
E01033459,0.4852,0.0437,A,A,D,"rgb(110,71,135)"
E01021364,0.5581,0.0297,D,D,G,"rgb(119,156,120)"
E01021366,0.7034,0.0016,G,G,G,"rgb(111,193,78)"
E01021383,0.9576,0.1053,K,K,K,"rgb(215,100,13)"
E01021405,0.7977,0.0053,H,H,H,"rgb(171,172,53)"
E01021368,0.8642,0.0161,H,H,H,"rgb(199,203,37)"
E01021370,0.4086,0.0027,C,C,C,"rgb(85,145,163)"
E01021372,0.7534,0.038,D,D,G,"rgb(143,189,67)"
E01021373,0.8958,0.0458,L,L,J,"rgb(186,116,30)"
E01021374,0.9827,0.0016,G,G,G,"rgb(172,224,7)"
E01021360,0.4049,0.0141,C,C,D,"rgb(72,181,154)"
E01021361,0.8254,0.0952,G,G,G,"rgb(167,155,59)"
E01021367,0.8589,0.0017,I,I,I,"rgb(208,156,36)"
E01021369,0.8537,0,K,K,J,"rgb(194,116,42)"
E01021380,0.7429,0.0891,F,F,F,"rgb(100,147,80)"
E01021347,0.8727,0.0904,K,K,J,"rgb(167,130,45)"
E01021371,0.9689,0.0042,J,J,J,"rgb(228,175,10)"
E01021384,1,0.0023,K,K,J,"rgb(255,150,0)"
E01021385,0.9981,0.0019,J,J,J,"rgb(254,115,0)"
E01021386,0.9789,0.0053,J,J,J,"rgb(245,156,5)"
E01021377,0.5293,0.028,A,A,E,"rgb(92,122,134)"
E01021378,0.6527,0.0012,A,A,G,"rgb(132,130,106)"
E01021379,0.6703,0.0179,G,G,G,"rgb(126,166,84)"
E01021401,0.671,0.1044,G,X,F,"rgb(113,149,108)"
E01021402,0.7148,0.0386,I,I,I,"rgb(164,142,83)"
E01021403,0.7783,0.0047,G,G,G,"rgb(154,184,62)"
E01021362,0.8552,0.3425,L,L,H,"rgb(177,137,56)"
E01021417,0.4948,0.003,D,X,D,"rgb(70,164,154)"
E01021418,0.9584,0,G,G,G,"rgb(186,241,17)"
E01021419,0.7742,0.0014,G,G,G,"rgb(138,228,57)"
E01021426,0.9619,0,I,I,I,"rgb(233,181,12)"
E01021428,0.8127,0.0015,G,G,F,"rgb(82,235,53)"
E01021423,0.9984,0.0189,G,G,G,"rgb(203,233,0)"
E01021425,0.9983,0,H,H,H,"rgb(254,254,0)"
E01021427,0.903,0,H,H,H,"rgb(224,243,24)"
E01021429,0.9752,0.0019,G,G,G,"rgb(197,240,20)"
E01021415,0.8506,0.0034,I,I,I,"rgb(204,163,38)"
E01021416,0.699,0.1515,L,L,I,"rgb(171,115,78)"
E01021420,0.9605,0.0395,G,G,G,"rgb(206,229,10)"
E01021422,0.9849,0.0013,E,E,F,"rgb(110,235,56)"
E01033460,0.941,0.2905,L,L,K,"rgb(234,104,15)"
E01033461,0.9948,0.0191,K,K,K,"rgb(254,61,1)"
E01033462,0.9387,0,K,K,J,"rgb(229,118,15)"
E01021348,0.4082,0.0061,A,A,D,"rgb(61,122,168)"
E01021394,0.7852,0.0441,I,I,G,"rgb(145,182,82)"
E01021395,0.7807,0,G,G,G,"rgb(130,204,61)"
E01021396,0.6095,0.0389,A,X,F,"rgb(103,151,102)"
E01021424,0.9654,0.0022,H,H,I,"rgb(234,161,9)"
E01021441,0.9422,0.0088,G,G,G,"rgb(128,224,34)"
E01021442,0.9198,0.0019,G,G,G,"rgb(147,238,24)"
E01021443,0.6388,0.0394,H,H,H,"rgb(146,151,98)"
E01021444,0.8099,0.0203,G,G,G,"rgb(122,199,56)"
E01021469,0.749,0.0105,G,G,G,"rgb(132,178,68)"
E01021470,0.7309,0.0269,F,F,G,"rgb(119,180,72)"
E01021471,0.8775,0.0199,G,G,G,"rgb(129,227,37)"
E01021457,0.5494,0.0189,A,X,F,"rgb(86,157,126)"
E01021458,0.7637,0.0537,G,G,G,"rgb(127,165,64)"
E01021459,0.7886,0.0019,F,F,F,"rgb(82,219,61)"
E01021460,0.7856,0.1286,F,F,F,"rgb(78,160,71)"
E01021448,0.9551,0.0154,F,F,F,"rgb(71,222,14)"
E01021449,0.8553,0.0458,F,F,F,"rgb(37,213,39)"
E01021450,0.7793,0.0049,F,F,F,"rgb(30,224,70)"
E01021451,0.9547,0,F,F,F,"rgb(45,247,20)"
E01021452,1,0.0171,F,F,F,"rgb(9,248,0)"
E01021431,0.5461,0,F,F,F,"rgb(54,168,124)"
E01021432,0.8335,0,G,G,H,"rgb(187,175,44)"
E01021434,0.6779,0.0154,L,L,G,"rgb(142,128,82)"
E01021461,0.997,0.0015,F,F,F,"rgb(58,245,62)"
E01021464,0.8744,0.0016,F,F,F,"rgb(75,231,59)"
E01021447,0.8899,0.024,F,F,F,"rgb(86,215,35)"
E01021453,0.9283,0.0054,F,F,G,"rgb(127,208,21)"
E01021455,0.8709,0.0055,F,F,F,"rgb(110,207,39)"
E01021465,0.6749,0.0238,F,X,F,"rgb(74,191,109)"
E01021466,0.6716,0.006,G,G,F,"rgb(93,205,89)"
E01021467,0.6737,0.0198,E,E,E,"rgb(28,207,150)"
E01021438,0.6357,0.0235,D,D,F,"rgb(87,212,111)"
E01021462,0.797,0.0083,G,G,F,"rgb(113,216,77)"
E01021463,0.6866,0.0209,F,F,F,"rgb(35,207,108)"
E01021468,0.6774,0.0161,F,F,F,"rgb(84,183,95)"
E01021433,0.6779,0.1079,L,X,G,"rgb(152,117,83)"
E01021436,0.7147,0.1038,L,X,I,"rgb(165,105,74)"
E01021439,0.6815,0.1069,K,K,G,"rgb(150,106,82)"
E01021475,0.7122,0.0043,G,G,G,"rgb(154,177,73)"
E01033063,0.8346,0,K,K,K,"rgb(203,70,42)"
E01033064,0.5804,0.0288,A,A,G,"rgb(126,135,114)"
E01021435,0.6809,0.0024,E,E,E,"rgb(53,204,154)"
E01021437,0.9987,0.0156,E,E,E,"rgb(12,244,182)"
E01021472,0.84,0.0507,G,G,G,"rgb(180,139,41)"
E01021473,0.7033,0.1499,G,G,G,"rgb(132,146,81)"
E01021474,0.5431,0.0033,D,D,F,"rgb(89,187,119)"
E01021445,0.6663,0.0156,F,F,F,"rgb(70,177,95)"
E01021446,0.8629,0.0296,F,F,F,"rgb(68,217,53)"
E01021454,0.9284,0.0017,H,H,H,"rgb(182,231,38)"
E01021456,0.9192,0.0019,I,I,I,"rgb(178,205,24)"
E01021513,0.9952,0.0016,F,F,G,"rgb(111,249,1)"
E01021514,1,0.0032,G,G,G,"rgb(182,250,0)"
E01021515,1,0.002,G,G,G,"rgb(132,254,0)"
E01021525,0.8807,0.0131,F,F,G,"rgb(124,202,45)"
E01021527,0.9161,0.0182,F,F,F,"rgb(76,233,29)"
E01021509,0.822,0.003,F,F,F,"rgb(60,208,45)"
E01021510,0.9192,0.0283,F,F,F,"rgb(37,222,25)"
E01021511,0.9365,0.1245,L,L,I,"rgb(208,133,23)"
E01021528,0.6189,0.0488,G,X,F,"rgb(99,182,103)"
E01021531,0.8057,0.0828,G,G,G,"rgb(124,188,55)"
